Pubdate,Artikel_Titel,Teaser,Artikel_URL,Image_URL,Kategorie,Region,Latitude,Longitude
22.08.2014,Manipulationen in Berliner Herzklinik,Gegen das international renommierte Deutsche Herzzentrum ermittelt die Staatsanwaltschaft wegen fahrlässiger Tötung. Der Verdacht: Bei Herztransplantationen sollen zahlreiche Patienten bevorzugt worden sein.,http://www.dw.de/manipulationen-in-berliner-herzklinik/a-17871213,"http://www.dw.de/image/0,,17871239_303,00.jpg",Gesundheit,Deutschland,52.542366,13.348037
23.08.2014,"Merkel fordert ""zweiseitigen Waffenstillstand"" in der Ukraine",In Kiew hat die Bundeskanzlerin alle Beteiligten im Ukraine-Konflikt zum Frieden aufgerufen. 500 Millionen Euro stellte sie für Energie- und Wasserversorgung in Aussicht. Für Flüchtlinge gibt es viel weniger. ,http://www.dw.de/merkel-fordert-zweiseitigen-waffenstillstand-in-der-ukraine/a-17873475,"http://www.dw.de/image/0,,17873435_303,00.jpg",Ausland,Europa,50.447384,30.536923
22.08.2014,Buddhistische Proteste gegen den Dalai Lama,"Nur drei Monate nach seinem Besuch in Frankfurt kommt der Dalai Lama wieder, dieses Mal nach Hamburg. Den tibetischen Religionsführer erwarten Proteste aus dem eigenen Glaubenslager. Was steckt dahinter?",http://www.dw.de/buddhistische-proteste-gegen-den-dalai-lama/a-17870310,"http://www.dw.de/image/0,,17870402_303,00.jpg",Kultur,Deutschland,53.562176,9.985912
23.08.2014,Wasserspringer Klein gewinnt Bronze,Turmspringer Sascha Klein holt bei den Europameisterschaften in Berlin die Bronzemedaille. Sein Podestplatz ist der achte der deutschen Wasserspringer im neunten Wettbewerb bei der Heim-EM.,http://www.dw.de/wasserspringer-klein-gewinnt-bronze/a-17873442,"http://www.dw.de/image/0,,17873627_303,00.jpg",Sport,Deutschland,52.529264,13.452652
23.08.2014,Bayer verdirbt Dortmund den Liga-Start,Die Revierklubs aus Dortmund und Schalke legen einen Fehlstart in die neue Fußball-Bundesliga-Saison hin. Nach dem peinlichen Pokal-Aus in Dresden steckt S04 schon nach dem ersten Spieltag in der Krise.,http://www.dw.de/bayer-verdirbt-dortmund-den-liga-start/a-17860640,"http://www.dw.de/image/0,,17873908_303,00.jpg",Sport,Deutschland,51.492516,7.451795
24.08.2014,Kramer rettet Borussia einen Punkt,Zwei Unentschieden bei den Sonntagsspielen: Mönchengladbach entreißt Stuttgart in letzter Minute den Sieg und Bundesliga-Neuling Paderborn rauscht gegen Mainz knapp am Traum-Einstand vorbei.,http://www.dw.de/kramer-rettet-borussia-einen-punkt/a-17860806,"http://www.dw.de/image/0,,17874736_303,00.jpg",Sport,Deutschland,51.174669,6.385493
27.08.2014,Leverkusen gewinnt das Millionen-Spiel,Die Werkself steht nach dem Heimsieg gegen den FC Kopenhagen in der Champions -League-Gruppenphase. Doch weniger das Ergebnis beeindruckt als vielmehr die Spielweise der Leverkusener. ,http://www.dw.de/leverkusen-gewinnt-das-millionen-spiel/a-17879183,"http://www.dw.de/image/0,,17885483_303,00.jpg",Sport,Deutschland,51.038209,7.002257
28.08.2014,Gladbach mit Torfestival nach Europa,"Borussia Mönchengladbach qualifiziert sich souverän für die Gruppenphase der Europa League. Gegner Sarajevo ist im Playoff-Rückspiel ohne Chance und wird von den ""Fohlen"" regelrecht abgefertigt. ",http://www.dw.de/gladbach-mit-torfestival-nach-europa/a-17887632,"http://www.dw.de/image/0,,17887628_303,00.jpg",Sport,Deutschland,51.174570,6.385506
29.08.2014,Dortmund feiert ersten Saisonsieg,"Der BVB hat das Auftakt-Trauma gut weggesteckt. In Augsburg gewinnt die Borussia das ""Kellerduell"" des 2. Spieltages. Am Ende wird die Partie nochmal richtig eng, nachdem Dortmund schon mit 3:0 geführt hatte.",http://www.dw.de/dortmund-feiert-ersten-saisonsieg/a-17881252,"http://www.dw.de/image/0,,17889602_303,00.jpg",Sport,Deutschland,48.323312,10.885629
01.09.2014,Staatsfernsehen in Pakistan besetzt,"Regierungsfeindliche Demonstranten haben das Gebäude des Staatsfernsehens in Islamabad zeoweise besetzt. Sie versuchen wieder, zur Residenz des Premiers vorzudringen. Das mächtige Militär mahnt eine politische Lösung an. ",http://www.dw.de/staatsfernsehen-in-pakistan-besetzt/a-17892248,"http://www.dw.de/image/0,,17892414_303,00.jpg",Ausland,Asien,33.733199,73.091004
